MAL_ID,MAL_SCORE,MAL_TITLE,GENRES,STUDIOS,DIRECTORS,OG_CREATOR,SOURCE,ANIM_DIRECTOR,COMPOSER,AGE_RATING
10165,8.46,b'Nichijou',"[b'Comedy', b'Slice of Life']",[b'Kyoto Animation'],"b'Miyawaki, Chizuru'","b'Umehara, Eiji'",b'Manga',None,None,b'PG-13 - Teens 13 or older'
31181,8.46,b'Owarimonogatari',"[b'Comedy', b'Mystery', b'Supernatural']",[b'Shaft'],"b'Kamiyama, Kenji'",None,b'Light novel',"b'Sasaki, Mutsumi'","b'Tateyama, Akiyuki'",b'R - 17+ (violence & profanity)'
392,8.45,b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho',"[b'Action', b'Comedy', b'Supernatural']",[b'Studio Pierrot'],"b'Natsume, Shingo'","b'Araki, Hirohiko'",b'Manga',"b'Kobayashi, Yuu'","b'Hayashi, Yuuki'",b'PG-13 - Teens 13 or older'
40059,8.45,b'Golden Kamuy 3rd Season',"[b'Action', b'Adventure']",[b'Geno Studio'],"b'Nishizawa, Nobutaka'","b'Suetsugu, Yuki'",b'Manga',None,"b'Tachibana, Asami'",b'R - 17+ (violence & profanity)'
40682,8.45,b'Kingdom 3rd Season',[b'Action'],"[b'Pierrot Plus', b'Studio Signpost']","b'Kishi, Seiji'","b'Yazawa, Ai'",b'Manga',None,b'Audio Highs',b'R - 17+ (violence & profanity)'
39247,8.45,b'Kobayashi-san Chi no Maid Dragon S',"[b'Comedy', b'Fantasy', b'Slice of Life']",[b'Kyoto Animation'],"b'Satou, Junichi'","b'Isayama, Hajime'",b'Manga',"b'Kubota, Chikashi'","b'Kanno, Yoko'",b'PG-13 - Teens 13 or older'
467,8.44,b'Koukaku Kidoutai: Stand Alone Complex',"[b'Action', b'Sci-Fi']",[b'Production I.G'],"b'Utsumi, Hiroko'",b'ONE',b'Manga',None,"b'Miyazaki, Makoto'",b'R - 17+ (violence & profanity)'
2246,8.44,b'Mononoke',"[b'Fantasy', b'Horror', b'Mystery', b'Supernatural']",[b'Toei Animation'],"b'Murata, Masahiko'","b'Furudate, Haruichi'",b'Original',"b'Kouno, Kouji'",None,b'R - 17+ (violence & profanity)'
34612,8.44,b'Saiki Kusuo no \xce\xa8-nan 2',"[b'Comedy', b'Slice of Life', b'Supernatural']","[b'J.C.Staff', b'Egg Firm']","b'Takahashi, Naohito'","b'Arawi, Keiichi'",b'Manga',"b'Kurosawa, Keiko'","b'Satou, Naoki'",b'PG-13 - Teens 13 or older'
33255,8.43,b'Saiki Kusuo no \xce\xa8-nan',"[b'Comedy', b'Slice of Life', b'Supernatural']","[b'J.C.Staff', b'Egg Firm']","b'Koujina, Hiroshi'","b'NISIO, ISIN'",b'Manga',"b'Yamagata, Kouji'",b'Choro Club',b'PG-13 - Teens 13 or older'
26055,8.43,b'JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season',"[b'Action', b'Adventure', b'Drama', b'Supernatural']",[b'David Production'],"b'Araki, Tetsurou'","b'Togashi, Yoshihiro'",b'Manga',"b'Onji, Masayuki'","b'Senoo, Takeshi'",b'R - 17+ (violence & profanity)'
5028,8.43,b'Major S5',"[b'Comedy', b'Drama', b'Romance', b'Sports']",[b'SynergySP'],"b'Yabuta, Shuuhei'","b'Noda, Satoru'",b'Manga',"b'Hayashi, Akemi'","b'Osawa, Shinichi'",b'PG-13 - Teens 13 or older'
37105,8.42,b'Grand Blue',"[b'Comedy', b'Slice of Life']",[b'Zero-G'],"b'Kawamura, Kenichi'","b'Hara, Yasuhisa'",b'Manga',"b'Kamada, Shinpei'","b'Kawasaki, Ryou'",b'PG-13 - Teens 13 or older'
37965,8.42,b'Kaze ga Tsuyoku Fuiteiru',"[b'Comedy', b'Drama', b'Sports']",[b'Production I.G'],"b'Watanabe, Ayumu'",b'Cool-kyou Shinja',b'Novel',"b'Kishi, Tomohiro'","b'Hirasawa, Susumu'",b'PG-13 - Teens 13 or older'
38889,8.42,b'Kono Oto Tomare! 2nd Season',"[b'Drama', b'Romance']",[b'Platinum Vision'],"b'Ezaki, Shinpei'","b'Shirow, Masamune'",b'Manga',"b'Tanaka, Shiho'",None,b'PG-13 - Teens 13 or older'
